event_id,event_date,year,in_sequence,label_sub_event_type,label_escalated,fatalities,avg_tone,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,tone_word_count,goldstein_trend,quad_class_ratio,volume_mention_spike,volume_right_censored,had_gkg_match,had_events_match,matching_method_version
USA4870,2020-05-30,2020,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA5723,2020-05-31,2020,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA8169,2020-06-06,2020,True,Violent demonstration,1,0,-3.22498552605628,1.40381348653446,4.62879901259074,6.0326124991252,24.0900501975455,3.2959237557180003,357.5,,,2,True,True,False,v3_sequence_anchored_geo_distance
USA6015,2020-06-01,2020,False,Violent demonstration,1,0,,,,,,,,5.033333333333333,1.0,0,True,False,True,v3_sequence_anchored_geo_distance
USA5578,2020-05-31,2020,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA4986,2020-05-30,2020,False,Violent demonstration,1,0,,,,,,,,,,0,False,False,False,v3_sequence_anchored_geo_distance
USA4941,2020-05-30,2020,False,Violent demonstration,1,0,,,,,,,,2.0142857142857142,0.3333333333333333,0,False,False,True,v3_sequence_anchored_geo_distance
USA5715,2020-05-31,2020,False,Violent demonstration,1,0,,,,,,,,3.416666666666667,1.0,0,False,False,True,v3_sequence_anchored_geo_distance
USA14290,2020-10-04,2020,False,Mob violence,1,0,,,,,,,,,,0,True,False,False,v3_sequence_anchored_geo_distance
USA5385,2020-05-31,2020,False,Violent demonstration,1,0,-3.6187974000393552,2.1588721963755777,5.777669596414931,7.93654179279051,24.188084108394904,1.1465886199471287,864.28,-2.1879999999999997,0.3076923076923077,25,True,True,True,v3_sequence_anchored_geo_distance
USA571,2020-06-14,2020,False,Peaceful protest,0,0,-2.360054106327894,2.433365653848545,4.793419760176437,7.226785414024983,23.937073569089648,0.7744022735369406,1403.8,-1.5833333333333333,0.8,25,True,True,True,v3_sequence_anchored_geo_distance
USA205,2020-06-20,2020,False,Peaceful protest,0,0,-2.9930846216460862,1.687338817647249,4.680423439293334,6.367762256940584,25.766369442323967,0.614337982293038,1099.48,-0.9479999999999997,0.5416666666666666,25,True,True,True,v3_sequence_anchored_geo_distance
USA390,2020-06-14,2020,False,Peaceful protest,0,0,,,,,,,,,,0,True,False,True,v3_sequence_anchored_geo_distance
USA4739,2020-05-29,2020,False,Violent demonstration,1,0,-1.402197895631412,2.7438746529801232,4.146072548611535,6.889947201591659,22.36505604460925,1.034617491522332,919.6666666666666,1.149,0.375,24,True,True,True,v3_sequence_anchored_geo_distance
USA1,2020-06-15,2020,False,Peaceful protest,0,0,-4.216640809119777,2.027335230906699,6.243976040026478,8.271311270933182,23.95841106596703,1.0396677562569643,843.08,,,25,True,True,True,v3_sequence_anchored_geo_distance
USA687,2020-06-20,2020,False,Peaceful protest,0,0,,,,,,,,,,0,False,False,True,v3_sequence_anchored_geo_distance
